ID,キャラクター名,セリフ,会話終了か,選択肢があるか,選択肢1,選択肢1を選んだ場合のスキップID,選択肢2,選択肢2を選んだ場合のスキップID,イベントID,タイピング間隔,次の文に行くまでの間隔,会話文の長さ,
GuidNPC1,???,美しいでしょう,,,,,,,FirstMoviePlay11,0.1,1,,FirstMoviePlay
GuidNPC2,???,やはり宇宙は美しい,,,,,,,,0.1,1,,
GuidNPC3,???,しかしながら私たちの故郷も・・・,,,,,,,,0.1,1,,
GuidNPC4,???,・・・失礼。感傷に浸ってしまいました,,,,,,,,0.1,2,,
GuidNPC5,???,申し遅れました。わたくしはこのゲームの案内人,,,,,,,FirstMoviePlay12,0.1,1,,
GuidNPC6,???,あなたのような勇敢な戦士を待っておりました。,,,,,,,,0.1,1,,
GuidNPC7,???,"あなたが通ってこられた場所はわたくしが""始まりの地""と読んでいる場所",,,,,,,FirstMoviePlay13,0.1,1,,
GuidNPC8,???,ここまで到達なされたあなたはまごうことなき勇者様,,,,,,,,0.1,1,,
GuidNPC9,???,しかしながらまだ判断を付けかねています。,,,,,,,,0.1,1,,
GuidNPC10,???,そこで私についてくることができたとき,,,,,,,FirstMoviePlay14,0.1,1,,
GuidNPC11,???,その依頼についてお話いたします。,,,,,,,,0.1,1,,
GuidNPC12,???,・・・どうやら戸惑っておいでのご様子。,,,,,,,,0.1,1,,
GuidNPC13,???,ところで・・・,,,,,,,,0.1,1,,
GuidNPC14,???,私の顔に見覚えは?,,,,,,,,0.1,1,,
GuidNPC14,???,・・・どうやら記憶も曖昧のようですね。それならば都合がよろしい,,,,,,,,0.1,1,,
Player1,冒険者,?,,,,,,,,0.1,2,,
GuidNPC15,???,まずはこの先にある3つのステージを攻略しかけらをすべて集めてください,,,,,,,,0.1,1,,
GuidNPC16,???,そのあと先ほどの依頼についてお話します。,TRUE,,,,,,,0.1,1,,
,,,,,,,,,LastEvent1,,,21.8,
